K,normalized_K,inverse_K,alpha,thetas,weights,seed
2,0.15535992194314677,496.0628287400623,0.3,"[0, 3, 10]","[1, 1, 1]",66
1,0.07767996097157338,5000.0,0.3,[0],[1],67
98,7.612636175214192,0.0011522580529628008,0.3,[3],[1],67
173,13.438633248082196,0.00017330708886589412,0.3,[10],[1],67
127,9.86535504338982,0.00048561370452460405,0.3,"[0, 3, 10]","[1, 1, 1]",67
8,0.6214396877725871,4.882812499999998,0.3,[0],[1],68
50,3.8839980485786696,0.01085767046637962,0.3,[3],[1],68
217,16.856551530831425,8.142746068032535e-05,0.3,[10],[1],68
17,1.3205593365167476,0.395798004002463,0.3,"[0, 3, 10]","[1, 1, 1]",68
1,0.07767996097157338,5000.0,0.3,[0],[1],69
84,6.525116721612164,0.001926219244328931,0.3,[3],[1],69
166,12.894873521281182,0.00019888851763530345,0.3,[10],[1],69
46,3.573278204692376,0.014336525078071007,0.3,"[0, 3, 10]","[1, 1, 1]",69
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],70
75,5.825997072868004,0.002810384833177332,0.3,[3],[1],70
204,15.846712038200971,0.00010004670262678558,0.3,[10],[1],70
76,5.903677033839577,0.002689003474612981,0.3,"[0, 3, 10]","[1, 1, 1]",70
6,0.46607976582944033,12.738916855303339,0.3,[0],[1],71
62,4.81615758023755,0.005300673317789519,0.3,[3],[1],71
154,11.962713989622301,0.000255407865863063,0.3,[10],[1],71
14,1.0875194536020274,0.7560372935188074,0.3,"[0, 3, 10]","[1, 1, 1]",71
12,0.9321595316588807,1.2638606260652467,0.3,[0],[1],72
75,5.825997072868004,0.002810384833177332,0.3,[3],[1],72
166,12.894873521281182,0.00019888851763530345,0.3,[10],[1],72
2,0.15535992194314677,496.0628287400623,0.3,"[0, 3, 10]","[1, 1, 1]",72
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],73
101,7.8456760581289124,0.0010420744753700934,0.3,[3],[1],73
190,14.759192584598944,0.00012680158080547412,0.3,[10],[1],73
190,14.759192584598944,0.00012680158080547412,0.3,"[0, 3, 10]","[1, 1, 1]",73
23,1.786639102346188,0.14450311782565922,0.3,[0],[1],74
75,5.825997072868004,0.002810384833177332,0.3,[3],[1],74
157,12.195753872537022,0.0002394994367050882,0.3,[10],[1],74
18,1.398239297488321,0.32713598609777417,0.3,"[0, 3, 10]","[1, 1, 1]",74
23,1.786639102346188,0.14450311782565922,0.3,[0],[1],75
101,7.8456760581289124,0.0010420744753700934,0.3,[3],[1],75
180,13.98239297488321,0.00015184307401443334,0.3,[10],[1],75
164,12.739513599338036,0.00020708906987454686,0.3,"[0, 3, 10]","[1, 1, 1]",75
27,2.0973589462324815,0.0846754390421514,0.3,[0],[1],76
49,3.806318087607096,0.011614033406709717,0.3,[3],[1],76
170,13.205593365167477,0.00018371315957440575,0.3,[10],[1],76
35,2.7187986340050685,0.035651394604417457,0.3,"[0, 3, 10]","[1, 1, 1]",76
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],77
84,6.525116721612164,0.001926219244328931,0.3,[3],[1],77
160,12.428793755451743,0.00022485543814943748,0.3,[10],[1],77
3,0.23303988291472016,128.40023599085825,0.3,"[0, 3, 10]","[1, 1, 1]",77
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],78
89,6.913516526470032,0.001588558876032669,0.3,[3],[1],78
